id,member_code,display_name,email,sponsor_id,enrolled_on,status
1,GW-000001,Kendall Marigold,kendall.marigold.1@example.com,,2024-08-02,active
2,GW-000002,Kai Eastbrook,kai.eastbrook.2@example.com,1,2024-08-03,active
3,GW-000003,Sage Oakhurst,sage.oakhurst.3@example.com,2,2024-08-04,active
4,GW-000004,Ellis Nettlebed,ellis.nettlebed.4@example.com,2,2024-08-06,active
5,GW-000005,North Eastbrook,north.eastbrook.5@example.com,1,2024-08-07,active
6,GW-000006,Fern Orchardson,fern.orchardson.6@example.com,3,2024-08-08,active
7,GW-000007,Jules Amberly,jules.amberly.7@example.com,2,2024-08-10,active
8,GW-000008,Yael Goldcrest,yael.goldcrest.8@example.com,1,2024-08-13,closed
9,GW-000009,Briar Amberly,briar.amberly.9@example.com,2,2024-08-19,active
10,GW-000010,Meadow Goldcrest,meadow.goldcrest.10@example.com,2,2024-08-19,active
11,GW-000011,Sage Greenmantle,sage.greenmantle.11@example.com,3,2024-08-23,active
12,GW-000012,Wren Elmsworth,wren.elmsworth.12@example.com,2,2024-08-23,active
13,GW-000013,Fern Orchardson,fern.orchardson.13@example.com,7,2024-08-25,active
14,GW-000014,Casey Pinegrove,casey.pinegrove.14@example.com,2,2024-08-25,active
15,GW-000015,Frankie Kestrel,frankie.kestrel.15@example.com,3,2024-08-26,active
16,GW-000016,Quinn Kingsley,quinn.kingsley.16@example.com,14,2024-08-27,active
17,GW-000017,Ember Goldcrest,ember.goldcrest.17@example.com,3,2024-08-28,active
18,GW-000018,Isle Juneberry,isle.juneberry.18@example.com,11,2024-08-29,active
19,GW-000019,Juniper Jasperfield,juniper.jasperfield.19@example.com,2,2024-08-31,active
20,GW-000020,Gray Greenmantle,gray.greenmantle.20@example.com,19,2024-08-31,active
21,GW-000021,Avery Hollowell,avery.hollowell.21@example.com,8,2024-09-01,active
22,GW-000022,Gray Eastbrook,gray.eastbrook.22@example.com,15,2024-09-01,active
23,GW-000023,Blake Ivorydale,blake.ivorydale.23@example.com,15,2024-09-01,active
24,GW-000024,Blake Orchardson,blake.orchardson.24@example.com,2,2024-09-02,active
25,GW-000025,Ellis Juneberry,ellis.juneberry.25@example.com,3,2024-09-02,active
26,GW-000026,Juniper Nettlebed,juniper.nettlebed.26@example.com,2,2024-09-02,active
